"pageId","box","type","attributes"
"1","[264,1322,1962,1986]","line","fontSize<9>"
"1","[264,1322,1962,1986]","paragraph","_layoutExtrapolated<true>fontSize<9>indentation<indent>lineHeight<24>textOrientation<justified>"
"1","[312,1323,444,469]","line","fontSize<11>"
"1","[264,711,404,429]","line","fontSize<11>"
"1","[264,692,964,990]","line","fontSize<11>"
"1","[264,621,1759,1784]","line","fontSize<11>"
"1","[264,373,1084,1110]","region",""
"1","[264,373,1084,1110]","block","lineHeight<26>"
"1","[264,373,1084,1110]","line","fontSize<11>"
"1","[264,373,1084,1110]","paragraph","_layoutExtrapolated<true>fontSize<11>indentation<indent>lineHeight<26>textOrientation<justified>"
"2","[260,1326,284,1993]","region",""
"2","[260,1326,284,1993]","column","lineHeight<25>"
"2","[264,1325,284,1630]","region",""
"2","[264,1325,284,1630]","block","indentation<mixed>lineHeight<25>"
"2","[264,1325,644,990]","paragraph","fontSize<11>indentation<indent>lineHeight<26>textOrientation<justified>"
"2","[264,1324,284,629]","paragraph","fontSize<11>indentation<none>lineHeight<25>textOrientation<justified>"
"2","[264,1324,1004,1230]","paragraph","fontSize<11>indentation<indent>lineHeight<26>textOrientation<justified>"
"2","[264,1323,1244,1430]","paragraph","fontSize<11>indentation<indent>lineHeight<26>textOrientation<justified>"
"2","[264,1323,1444,1630]","paragraph","fontSize<11>indentation<indent>lineHeight<26>textOrientation<justified>"
"2","[264,1325,684,710]","line","fontSize<11>"
"2","[264,1325,724,750]","line","fontSize<11>"
"2","[264,1324,1084,1110]","line","fontSize<11>"
"2","[264,1323,764,790]","line","fontSize<11>"
"2","[264,1323,804,830]","line","fontSize<11>"
"2","[264,1323,884,910]","line","fontSize<11>"
"2","[264,1323,924,950]","line","fontSize<11>"
"2","[264,1323,1044,1070]","line","fontSize<11>"
"2","[264,1323,1124,1150]","line","fontSize<11>"
"2","[264,1323,1164,1190]","line","fontSize<11>"
"2","[264,1323,1284,1310]","line","fontSize<11>"
"2","[264,1323,1324,1350]","line","fontSize<11>"
"2","[264,1323,1364,1390]","line","fontSize<11>"
"2","[264,1323,1484,1510]","line","fontSize<11>"
"2","[264,1323,1524,1550]","line","fontSize<11>"
"2","[264,1323,1564,1590]","line","fontSize<11>"
"2","[264,1322,844,870]","line","fontSize<11>"
"2","[264,1324,364,389]","line","fontSize<11>"
"2","[264,1323,284,309]","line","fontSize<11>"
"2","[264,1323,404,429]","line","fontSize<11>"
"2","[264,1323,524,549]","line","fontSize<11>"
"2","[264,1322,324,349]","line","fontSize<11>"
"2","[264,1322,444,469]","line","fontSize<11>"
"2","[264,1322,484,509]","line","fontSize<11>"
"2","[264,1322,564,589]","line","fontSize<11>"
"2","[312,1323,644,670]","line","fontSize<11>"
"2","[312,1323,1004,1030]","line","fontSize<11>"
"2","[312,1323,1244,1270]","line","fontSize<11>"
"2","[312,1322,1444,1470]","line","fontSize<11>"
"2","[260,1326,1969,1993]","region",""
"2","[260,1326,1969,1993]","block","lineHeight<24>"
"2","[260,1326,1969,1993]","line","fontSize<9>"
"2","[260,1326,1969,1993]","paragraph","_layoutExtrapolated<true>fontSize<9>indentation<indent>lineHeight<24>textOrientation<justified>"
"2","[264,1323,1873,1897]","region",""
"2","[264,1323,1873,1897]","block","lineHeight<24>"
"2","[264,1323,1873,1897]","line","fontSize<10>"
"2","[264,1323,1873,1897]","paragraph","_layoutExtrapolated<true>fontSize<10>indentation<indent>lineHeight<24>textOrientation<justified>"
"2","[264,954,964,990]","line","fontSize<11>"
"2","[264,945,1604,1630]","line","fontSize<11>"
"2","[264,869,1204,1230]","line","fontSize<11>"
